Year,Type,Total,,,
2006,Other Causes (Please Specity),1,,,
2006,Other Causes (Please Specity),1,,,
2007,Suspected/Illicit Relation,1,,,
2007,Family Problems,1,,,
2007,Other Prolonged Illness,1,,,
2007,Death of Dear Person,1,,,
2007,Drug Abuse/Addiction,1,,,
2007,Insanity/Mental Illness,1,,,
2007,Professional/Career Problem,1,,,
2007,Divorce,1,,,
2007,Death of Dear Person,1,,,
2007,Poverty,1,,,
2007,Suspected/Illicit Relation,1,,,
2007,Bankruptcy,1,,,
2007,Cancellation of Marriage,1,,,
2007,Death of Dear Person,1,,,
2007,Fall in Social Reputation,1,,,
2007,Professional/Career Problem,1,,,
2007,Illness (Aids/STD),1,,,
2007,Failure in Examination,1,,,
2007,Illness (Aids/STD),1,,,
2007,Fall in Social Reputation,1,,,
2007,Cancer,1,,,
2007,Other Causes (Please Specity),1,,,
2007,Insanity/Mental Illness,1,,,
2007,Drug Abuse/Addiction,1,,,
2007,Poverty,1,,,
2007,Insanity/Mental Illness,1,,,
2007,Death of Dear Person,1,,,
2007,Fall in Social Reputation,1,,,
2008,Cancellation of Marriage,1,,,
2008,Love Affairs,1,,,
2008,Poverty,1,,,
2008,Other Prolonged Illness,1,,,
2008,Insanity/Mental Illness,1,,,
2008,Other Prolonged Illness,1,,,
2008,Illness (Aids/STD),1,,,
2008,Not having Children(Barrenness/Impotency,1,,,
2008,Illegitimate Pregnancy,1,,,
2008,Physical Abuse (Rape/Incest Etc.),1,,,
2008,Paralysis,1,,,
2008,Death of Dear Person,1,,,
2008,Unemployment,1,,,
2008,Love Affairs,1,,,
2008,Poverty,1,,,
2008,Cancellation of Marriage,1,,,
2008,Drug Abuse/Addiction,1,,,
2008,Death of Dear Person,1,,,
2008,Bankruptcy,1,,,
2008,Ideological Causes/Hero Worshipping,1,,,
2008,Other Causes (Please Specity),1,,,
2008,Professional/Career Problem,1,,,
2008,Death of Dear Person,1,,,
2008,Poverty,1,,,
2008,Professional/Career Problem,1,,,
2008,Cancer,1,,,
2008,Drug Abuse/Addiction,1,,,
2008,Death of Dear Person,1,,,
2008,Causes Not known,1,,,
2008,Property Dispute,1,,,
2008,Failure in Examination,1,,,
2009,Failure in Examination,1,,,
2009,Insanity/Mental Illness,1,,,
2009,Poverty,1,,,
2009,Other Prolonged Illness,1,,,
2009,Family Problems,1,,,
2009,Insanity/Mental Illness,1,,,
2009,Death of Dear Person,1,,,
2009,Cancer,1,,,
2009,Bankruptcy,1,,,
2009,Fall in Social Reputation,1,,,
2009,Death of Dear Person,1,,,
2009,Unemployment,1,,,
2009,Illness (Aids/STD),1,,,
2009,Failure in Examination,1,,,
2009,Insanity/Mental Illness,1,,,
2009,Death of Dear Person,1,,,
2009,Property Dispute,1,,,
2009,Illness (Aids/STD),1,,,
2009,Insanity/Mental Illness,1,,,
2009,Property Dispute,1,,,
2009,Causes Not known,1,,,
2009,Bankruptcy,1,,,
2009,Death of Dear Person,1,,,
2009,Insanity/Mental Illness,1,,,
2010,Fall in Social Reputation,1,,,
2010,Physical Abuse (Rape/Incest Etc.),1,,,
2010,Other Prolonged Illness,1,,,
2010,Death of Dear Person,1,,,
2010,Family Problems,1,,,
2010,Love Affairs,1,,,
2010,Drug Abuse/Addiction,1,,,
2010,Illness (Aids/STD),1,,,
2010,Not having Children(Barrenness/Impotency,1,,,
2010,Not having Children(Barrenness/Impotency,1,,,
2010,Physical Abuse (Rape/Incest Etc.),1,,,
2010,Cancer,1,,,
2010,Poverty,1,,,
2010,Failure in Examination,1,,,
2010,Insanity/Mental Illness,1,,,
2010,Drug Abuse/Addiction,1,,,
2010,Cancer,1,,,
2010,Bankruptcy,1,,,
2010,Not having Children(Barrenness/Impotency,1,,,
2010,Cancer,1,,,
2010,Bankruptcy,1,,,
2010,Love Affairs,1,,,
2010,Poverty,1,,,
2010,Death of Dear Person,1,,,
2010,Illness (Aids/STD),1,,,
2010,Insanity/Mental Illness,1,,,
2010,Cancer,1,,,
2010,Fall in Social Reputation,1,,,
2011,Not having Children(Barrenness/Impotency,1,,,
2011,Cancer,1,,,
2011,Love Affairs,1,,,
2011,Insanity/Mental Illness,1,,,
2011,Other Causes (Please Specity),1,,,
2011,Other Prolonged Illness,1,,,
2011,Not having Children(Barrenness/Impotency,1,,,
2011,Professional/Career Problem,1,,,
2011,Cancer,1,,,
2011,Ideological Causes/Hero Worshipping,1,,,
2011,Love Affairs,1,,,
2011,Dowry Dispute,1,,,
2011,Death of Dear Person,1,,,
2011,Poverty,1,,,
2011,Cancer,1,,,
2011,Fall in Social Reputation,1,,,
2011,Not having Children(Barrenness/Impotency,1,,,
2011,Bankruptcy,1,,,
2011,Death of Dear Person,1,,,
2011,Illness (Aids/STD),1,,,
2012,Bankruptcy,1,,,
2012,Insanity/Mental Illness,1,,,
2012,Other Prolonged Illness,1,,,
2012,Drug Abuse/Addiction,1,,,
2012,Death of Dear Person,1,,,
2012,Suspected/Illicit Relation,1,,,
2012,Professional/Career Problem,1,,,
2012,Divorce,1,,,
2012,Cancer,1,,,
2012,Cancellation of Marriage,1,,,
2012,Failure in Examination,1,,,
2012,Divorce,1,,,
2012,Dowry Dispute,1,,,
2012,Professional/Career Problem,1,,,
2012,Death of Dear Person,1,,,
2012,Unemployment,1,,,
2012,Insanity/Mental Illness,1,,,
2012,Divorce,1,,,
2012,Bankruptcy,1,,,
2012,Professional/Career Problem,1,,,
2012,Fall in Social Reputation,1,,,
2012,Property Dispute,1,,,
2012,Other Prolonged Illness,1,,,
2001,Failure in Examination,47,,,
2001,Failure in Examination,44,,,
2001,Failure in Examination,43,,,
2001,Failure in Examination,43,,,
2001,Failure in Examination,41,,,
2001,Failure in Examination,38,,,
2001,Failure in Examination,34,,,
2001,Failure in Examination,34,,,
2001,Failure in Examination,31,,,
2001,Failure in Examination,29,,,
2001,Failure in Examination,27,,,
2001,Failure in Examination,26,,,
2001,Failure in Examination,25,,,
2001,Failure in Examination,24,,,
2001,Failure in Examination,23,,,
2001,Failure in Examination,20,,,
2001,Failure in Examination,19,,,
2001,Failure in Examination,17,,,
2001,Failure in Examination,17,,,
2001,Failure in Examination,16,,,
2001,Failure in Examination,16,,,
2001,Failure in Examination,16,,,
2001,Failure in Examination,15,,,
2001,Failure in Examination,15,,,
2001,Failure in Examination,14,,,
2001,Failure in Examination,13,,,
2001,Failure in Examination,13,,,
2001,Failure in Examination,13,,,
2001,Failure in Examination,13,,,
2002,Dowry Dispute,1,,,
2002,Suspected/Illicit Relation,1,,,
2002,Cancellation of Marriage,1,,,
2002,Professional/Career Problem,1,,,
2002,Failure in Examination,1,,,
2002,Other Causes (Please Specity),1,,,
2002,Love Affairs,1,,,
2002,Suspected/Illicit Relation,1,,,
2002,Suspected/Illicit Relation,1,,,
2002,Bankruptcy,1,,,
2002,Professional/Career Problem,1,,,
2002,Failure in Examination,1,,,
2002,Other Prolonged Illness,1,,,
2002,Family Problems,1,,,
2002,Causes Not known,1,,,
2002,Paralysis,1,,,
2003,Family Problems,1,,,
2003,Failure in Examination,1,,,
2003,Unemployment,1,,,
2003,Dowry Dispute,1,,,
2003,Bankruptcy,1,,,
2003,Failure in Examination,1,,,
2003,Death of Dear Person,1,,,
2003,Property Dispute,1,,,
2003,Poverty,1,,,
2003,Other Prolonged Illness,1,,,
2003,Property Dispute,1,,,
2003,Suspected/Illicit Relation,1,,,
2003,Professional/Career Problem,1,,,
2003,Causes Not known,1,,,
2003,Professional/Career Problem,1,,,
2003,Professional/Career Problem,1,,,
2003,Other Prolonged Illness,1,,,
2003,Other Causes (Please Specity),1,,,
2004,Professional/Career Problem,1,,,
2004,Other Causes (Please Specity),1,,,
2004,Causes Not known,1,,,
2004,Insanity/Mental Illness,1,,,
2004,Cancellation of Marriage,1,,,
2004,Unemployment,1,,,
2004,Not having Children(Barrenness/Impotency,1,,,
2004,Bankruptcy,1,,,
2004,Drug Abuse/Addiction,1,,,
2004,Suspected/Illicit Relation,1,,,
2004,Professional/Career Problem,1,,,
2004,Poverty,1,,,
2004,Other Prolonged Illness,1,,,
2004,Not having Children(Barrenness/Impotency,1,,,
2004,Suspected/Illicit Relation,1,,,
2004,Love Affairs,1,,,
2004,Unemployment,1,,,
2004,Cancer,1,,,
2004,Other Causes (Please Specity),1,,,
2004,Other Prolonged Illness,1,,,
2004,Property Dispute,1,,,
2004,Other Prolonged Illness,1,,,
2004,Insanity/Mental Illness,1,,,
2004,Causes Not known,1,,,
2005,Failure in Examination,1,,,
2005,Unemployment,1,,,
2005,Dowry Dispute,1,,,
2005,Unemployment,1,,,
2005,Illness (Aids/STD),1,,,
2005,Bankruptcy,1,,,
2005,Death of Dear Person,1,,,
2005,Other Prolonged Illness,1,,,
2005,Death of Dear Person,1,,,
2005,Love Affairs,1,,,
2005,Poverty,1,,,
2005,Illness (Aids/STD),1,,,
2005,Family Problems,1,,,
2005,Cancer,1,,,
2005,Bankruptcy,1,,,
2005,Other Causes (Please Specity),1,,,
2005,Cancer,1,,,
2005,Drug Abuse/Addiction,1,,,
2005,Other Prolonged Illness,1,,,
2006,Fall in Social Reputation,1,,,
2006,Physical Abuse (Rape/Incest Etc.),1,,,
2006,Failure in Examination,1,,,
2006,Causes Not known,1,,,
2006,Family Problems,1,,,
2006,Cancellation of Marriage,1,,,
2006,Dowry Dispute,1,,,
2006,Death of Dear Person,1,,,
2006,Other Prolonged Illness,1,,,
2006,Not having Children(Barrenness/Impotency,1,,,
2006,Cancer,1,,,
2006,Drug Abuse/Addiction,1,,,
2006,Suspected/Illicit Relation,1,,,
2006,Other Causes (Please Specity),1,,,
2006,Love Affairs,1,,,
2006,Drug Abuse/Addiction,1,,,
2006,Bankruptcy,1,,,
2006,Love Affairs,1,,,
2006,Illness (Aids/STD),1,,,
2006,Divorce,1,,,
2006,Other Causes (Please Specity),1,,,
2006,Causes Not known,1,,,
2006,Fall in Social Reputation,1,,,
2006,Not having Children(Barrenness/Impotency,1,,,
2006,Poverty,1,,,
2006,Drug Abuse/Addiction,1,,,
2006,Not having Children(Barrenness/Impotency,1,,,
2006,Other Causes (Please Specity),1,,,
2006,Other Causes (Please Specity),1,,,
2006,Death of Dear Person,1,,,
2007,Illness (Aids/STD),1,,,
2007,Poverty,1,,,
2007,Insanity/Mental Illness,1,,,
2007,Cancer,1,,,
2007,Suspected/Illicit Relation,1,,,
2007,Unemployment,1,,,
2007,Poverty,1,,,
2007,Bankruptcy,1,,,
2007,Poverty,1,,,
2007,Other Prolonged Illness,1,,,
2007,Drug Abuse/Addiction,1,,,
2007,Suspected/Illicit Relation,1,,,
2007,Poverty,1,,,
2007,Bankruptcy,1,,,
2007,Failure in Examination,1,,,
2007,Love Affairs,1,,,
2007,Suspected/Illicit Relation,1,,,
2007,Other Causes (Please Specity),1,,,
2007,Bankruptcy,1,,,
2007,Illness (Aids/STD),1,,,
2007,Love Affairs,1,,,
2007,Poverty,1,,,
2007,Cancer,1,,,
2007,Poverty,1,,,
2007,Unemployment,1,,,
2007,Professional/Career Problem,1,,,
2007,Other Causes (Please Specity),1,,,
2007,Other Prolonged Illness,1,,,
2007,Illness (Aids/STD),1,,,
2007,Other Causes (Please Specity),1,,,
2008,Insanity/Mental Illness,1,,,
2008,Other Causes (Please Specity),1,,,
2008,Causes Not known,1,,,
2008,Poverty,1,,,
2008,Professional/Career Problem,1,,,
2008,Illegitimate Pregnancy,1,,,
2008,Death of Dear Person,1,,,
2008,Poverty,1,,,
2008,Drug Abuse/Addiction,1,,,
2008,Not having Children(Barrenness/Impotency,1,,,
2008,Other Prolonged Illness,1,,,
2008,Failure in Examination,1,,,
2008,Suspected/Illicit Relation,1,,,
2008,Death of Dear Person,1,,,
2008,Other Prolonged Illness,1,,,
2008,Not having Children(Barrenness/Impotency,1,,,
2008,Love Affairs,1,,,
2008,Poverty,1,,,
2008,Suspected/Illicit Relation,1,,,
2008,Illness (Aids/STD),1,,,
2008,Cancer,1,,,
2008,Drug Abuse/Addiction,1,,,
2008,Other Causes (Please Specity),1,,,
2008,Other Prolonged Illness,1,,,
2008,Other Causes (Please Specity),1,,,
2008,Poverty,1,,,
2009,Insanity/Mental Illness,1,,,
2009,Professional/Career Problem,1,,,
2009,Suspected/Illicit Relation,1,,,
2009,Other Prolonged Illness,1,,,
2009,Cancellation of Marriage,1,,,
2009,Professional/Career Problem,1,,,
2009,Poverty,1,,,
2009,Drug Abuse/Addiction,1,,,
2009,Bankruptcy,1,,,
2009,Poverty,1,,,
2009,Bankruptcy,1,,,
2009,Professional/Career Problem,1,,,
2009,Causes Not known,1,,,
2009,Other Causes (Please Specity),1,,,
2009,Poverty,1,,,
2009,Family Problems,1,,,
2009,Not having Children(Barrenness/Impotency,1,,,
2009,Death of Dear Person,1,,,
2010,Insanity/Mental Illness,1,,,
2010,Causes Not known,1,,,
2010,Family Problems,1,,,
2010,Unemployment,1,,,
2010,Death of Dear Person,1,,,
2010,Other Prolonged Illness,1,,,
2010,Drug Abuse/Addiction,1,,,
2010,Professional/Career Problem,1,,,
2010,Dowry Dispute,1,,,
2010,Professional/Career Problem,1,,,
2010,Divorce,1,,,
2010,Fall in Social Reputation,1,,,
2010,Poverty,1,,,
2010,Family Problems,1,,,
2010,Not having Children(Barrenness/Impotency,1,,,
2010,Causes Not known,1,,,
2010,Love Affairs,1,,,
2010,Paralysis,1,,,
2010,Cancer,1,,,
2010,Drug Abuse/Addiction,1,,,
2010,Poverty,1,,,
2010,Causes Not known,1,,,
2011,Family Problems,1,,,
2011,Love Affairs,1,,,
2011,Causes Not known,1,,,
2011,Family Problems,1,,,
2011,Other Causes (Please Specity),1,,,
2011,Other Prolonged Illness,1,,,
2011,Dowry Dispute,1,,,
2011,Professional/Career Problem,1,,,
2011,Drug Abuse/Addiction,1,,,
2011,Poverty,1,,,
2011,Other Prolonged Illness,1,,,
2011,Suspected/Illicit Relation,1,,,
2011,Not having Children(Barrenness/Impotency,1,,,
2011,Professional/Career Problem,1,,,
2011,Love Affairs,1,,,
2011,Causes Not known,1,,,
2011,Death of Dear Person,1,,,
2011,Family Problems,1,,,
2011,Other Prolonged Illness,1,,,
2011,Bankruptcy,1,,,
2011,Unemployment,1,,,
2011,Love Affairs,1,,,
2011,Poverty,1,,,
2011,Cancer,1,,,
2011,Other Causes (Please Specity),1,,,
2011,Drug Abuse/Addiction,1,,,
2012,Causes Not known,1,,,
2012,Failure in Examination,1,,,
2012,Causes Not known,1,,,
2012,Death of Dear Person,1,,,
2012,Cancellation of Marriage,1,,,
2012,Professional/Career Problem,1,,,
2012,Drug Abuse/Addiction,1,,,
2012,Fall in Social Reputation,1,,,
2012,Other Causes (Please Specity),1,,,
2012,Insanity/Mental Illness,1,,,
2012,Unemployment,1,,,
2012,Professional/Career Problem,1,,,
2012,Causes Not known,1,,,
2012,Family Problems,1,,,
2012,Bankruptcy,1,,,
2012,Fall in Social Reputation,1,,,
2012,Other Causes (Please Specity),1,,,
2012,Cancer,1,,,
2012,Fall in Social Reputation,1,,,
2012,Other Causes (Please Specity),1,,,
2012,Causes Not known,1,,,
2001,Failure in Examination,11,,,
2001,Failure in Examination,11,,,
2001,Failure in Examination,11,,,
2001,Failure in Examination,10,,,
2001,Failure in Examination,9,,,
2001,Failure in Examination,9,,,
2001,Failure in Examination,9,,,
2001,Failure in Examination,8,,,
2001,Failure in Examination,8,,,
2001,Failure in Examination,8,,,
2001,Failure in Examination,7,,,
2001,Failure in Examination,7,,,
2001,Failure in Examination,6,,,
2001,Failure in Examination,6,,,
2001,Failure in Examination,6,,,
2001,Failure in Examination,6,,,
2001,Failure in Examination,6,,,
2001,Failure in Examination,6,,,
2001,Failure in Examination,5,,,
2001,Failure in Examination,5,,,
2001,Failure in Examination,5,,,
2002,Not having Children (Barrenness/Impotency,1,,,
2002,Love Affairs,1,,,
2002,Poverty,1,,,
2002,Fall in Social Reputation,1,,,
2002,Drug Abuse/Addiction,1,,,
2002,Ideological Causes/Hero Worshipping,1,,,
2002,Physical Abuse (Rape/Incest Etc.),1,,,
2002,Illegitimate Pregnancy,1,,,
2002,Divorce,1,,,
2002,Property Dispute,1,,,
2002,Failure in Examination,1,,,
2002,Property Dispute,1,,,
2002,Ideological Causes/Hero Worshipping,1,,,
2002,Dowry Dispute,1,,,
2002,Physical Abuse (Rape/Incest Etc.),1,,,
2002,Divorce,1,,,
2002,Professional/Career Problem,1,,,
2002,Death of Dear Person,1,,,
2002,Cancellation of Marriage,1,,,
2002,Divorce,1,,,
2002,Physical Abuse (Rape/Incest Etc.),1,,,
2002,Bankruptcy,1,,,
2002,Property Dispute,1,,,
2002,Illness (Aids/STD),1,,,
2002,Dowry Dispute,1,,,
2002,Death of Dear Person,1,,,
2002,Fall in Social Reputation,1,,,
2002,Divorce,1,,,
2002,Drug Abuse/Addiction,1,,,
2003,Failure in Examination,1,,,
2003,Bankruptcy,1,,,
2003,Physical Abuse (Rape/Incest Etc.),1,,,
2003,Poverty,1,,,
2003,Cancer,1,,,
2003,Fall in Social Reputation,1,,,
2003,Love Affairs,1,,,
2003,Paralysis,1,,,
2003,Insanity/Mental Illness,1,,,
2003,Illegitimate Pregnancy,1,,,
2003,Cancer,1,,,
2003,Professional/Career Problem,1,,,
2003,Cancer,1,,,
2003,Failure in Examination,1,,,
2003,Unemployment,1,,,
2003,Divorce,1,,,
2003,Fall in Social Reputation,1,,,
2003,Illness (Aids/STD),1,,,
2003,Professional/Career Problem,1,,,
2003,Love Affairs,1,,,
2003,Illness (Aids/STD),1,,,
2003,Cancellation of Marriage,1,,,
2003,Divorce,1,,,
2003,Unemployment,1,,,
2003,Fall in Social Reputation,1,,,
2003,Professional/Career Problem,1,,,
2004,Other Prolonged Illness,1,,,
2004,Illness (Aids/STD),1,,,
2004,Property Dispute,1,,,
2004,Paralysis,1,,,
2004,Cancer,1,,,
2004,Ideological Causes/Hero Worshipping,1,,,
2004,Illness (Aids/STD),1,,,
2004,Drug Abuse/Addiction,1,,,
2004,Failure in Examination,1,,,
2004,Failure in Examination,1,,,
2004,Professional/Career Problem,1,,,
2004,Cancer,1,,,
2004,Dowry Dispute,1,,,
2004,Illness (Aids/STD),1,,,
2004,Drug Abuse/Addiction,1,,,
2004,Paralysis,1,,,
2004,Not having Children(Barrenness/Impotency,1,,,
2004,Cancer,1,,,
2004,Bankruptcy,1,,,
2004,Fall in Social Reputation,1,,,
2004,Drug Abuse/Addiction,1,,,
2004,Love Affairs,1,,,
2005,Love Affairs,1,,,
2005,Professional/Career Problem,1,,,
2005,Cancer,1,,,
2005,Illness (Aids/STD),1,,,
2005,Paralysis,1,,,
2005,Drug Abuse/Addiction,1,,,
2005,Property Dispute,1,,,
2005,Illness (Aids/STD),1,,,
2005,Cancer,1,,,
2005,Professional/Career Problem,1,,,
2005,Physical Abuse (Rape/Incest Etc.),1,,,
2005,Bankruptcy,1,,,
2005,Love Affairs,1,,,
2005,Professional/Career Problem,1,,,
2005,Suspected/Illicit Relation,1,,,
2005,Suspected/Illicit Relation,1,,,
2005,Illness (Aids/STD),1,,,
2005,Paralysis,1,,,
2005,Ideological Causes/Hero Worshipping,1,,,
2005,Drug Abuse/Addiction,1,,,
2005,Not having Children(Barrenness/Impotency,1,,,
2006,Insanity/Mental Illness,1,,,
2006,Death of Dear Person,1,,,
2006,Suspected/Illicit Relation,1,,,
2006,Love Affairs,1,,,
2006,Poverty,1,,,
2006,Illness (Aids/STD),1,,,
2006,Cancer,1,,,
2006,Illness (Aids/STD),1,,,
2006,Physical Abuse (Rape/Incest Etc.),1,,,
2006,Ideological Causes/Hero Worshipping,1,,,
2006,Failure in Examination,1,,,
2006,Physical Abuse (Rape/Incest Etc.),1,,,
2006,Paralysis,1,,,
2006,Paralysis,1,,,
2006,Dowry Dispute,1,,,
2006,Unemployment,1,,,
2006,Illness (Aids/STD),1,,,
2006,Paralysis,1,,,
2006,Ideological Causes/Hero Worshipping,1,,,
2006,Illness (Aids/STD),1,,,
2006,Physical Abuse (Rape/Incest Etc.),1,,,
2006,Paralysis,1,,,
2006,Divorce,1,,,
2006,Professional/Career Problem,1,,,
2007,Insanity/Mental Illness,1,,,
2007,Paralysis,1,,,
2007,Other Prolonged Illness,1,,,
2007,Property Dispute,1,,,
2007,Insanity/Mental Illness,1,,,
2007,Bankruptcy,1,,,
2007,Professional/Career Problem,1,,,
2007,Cancer,1,,,
2007,Property Dispute,1,,,
2007,Paralysis,1,,,
2007,Illegitimate Pregnancy,1,,,
2007,Cancer,1,,,
2007,Love Affairs,1,,,
2007,Property Dispute,1,,,
2007,Ideological Causes/Hero Worshipping,1,,,
2007,Professional/Career Problem,1,,,
2007,Divorce,1,,,
2007,Physical Abuse (Rape/Incest Etc.),1,,,
2007,Not having Children(Barrenness/Impotency,1,,,
2007,Love Affairs,1,,,
2007,Failure in Examination,1,,,
2007,Physical Abuse (Rape/Incest Etc.),1,,,
2007,Suspected/Illicit Relation,1,,,
2007,Drug Abuse/Addiction,1,,,
2007,Unemployment,1,,,
2007,Professional/Career Problem,1,,,
2007,Ideological Causes/Hero Worshipping,1,,,
2007,Physical Abuse (Rape/Incest Etc.),1,,,
2008,Other Prolonged Illness,1,,,
2008,Poverty,1,,,
2008,Other Prolonged Illness,1,,,
2008,Physical Abuse (Rape/Incest Etc.),1,,,
2008,Cancer,1,,,
2008,Physical Abuse (Rape/Incest Etc.),1,,,
2008,Property Dispute,1,,,
2008,Professional/Career Problem,1,,,
2008,Unemployment,1,,,
2008,Property Dispute,1,,,
2008,Suspected/Illicit Relation,1,,,
2008,Not having Children(Barrenness/Impotency,1,,,
2009,Fall in Social Reputation,1,,,
2009,Other Prolonged Illness,1,,,
2009,Bankruptcy,1,,,
2009,Professional/Career Problem,1,,,
2009,Cancer,1,,,
2009,Not having Children(Barrenness/Impotency,1,,,
2009,Physical Abuse (Rape/Incest Etc.),1,,,
2009,Dowry Dispute,1,,,
2009,Love Affairs,1,,,
2009,Property Dispute,1,,,
2009,Divorce,1,,,
2009,Not having Children(Barrenness/Impotency,1,,,
2009,Illness (Aids/STD),1,,,
2009,Ideological Causes/Hero Worshipping,1,,,
2009,Drug Abuse/Addiction,1,,,
2009,Divorce,1,,,
2009,Bankruptcy,1,,,
2009,Illness (Aids/STD),1,,,
2009,Cancellation of Marriage,1,,,
2009,Drug Abuse/Addiction,1,,,
2009,Illness (Aids/STD),1,,,
2010,Love Affairs,1,,,
2010,Failure in Examination,1,,,
2010,Drug Abuse/Addiction,1,,,
2010,Illness (Aids/STD),1,,,
2010,Drug Abuse/Addiction,1,,,
2010,Professional/Career Problem,1,,,
2010,Paralysis,1,,,
2010,Cancer,1,,,
2010,Dowry Dispute,1,,,
2010,Ideological Causes/Hero Worshipping,1,,,
2010,Paralysis,1,,,
2010,Ideological Causes/Hero Worshipping,1,,,
2010,Fall in Social Reputation,1,,,
2010,Failure in Examination,1,,,
2010,Professional/Career Problem,1,,,
2010,Property Dispute,1,,,
2010,Ideological Causes/Hero Worshipping,1,,,
2010,Love Affairs,1,,,
2010,Fall in Social Reputation,1,,,
2010,Ideological Causes/Hero Worshipping,1,,,
2010,Divorce,1,,,
2010,Poverty,1,,,
2010,Cancer,1,,,
2010,Unemployment,1,,,
2010,Fall in Social Reputation,1,,,
2010,Professional/Career Problem,1,,,
2011,Death of Dear Person,1,,,
2011,Love Affairs,1,,,
2011,Paralysis,1,,,
2011,Death of Dear Person,1,,,
2011,Property Dispute,1,,,
2011,Cancer,1,,,
2011,Divorce,1,,,
2011,Paralysis,1,,,
2011,Physical Abuse (Rape/Incest Etc.),1,,,
2011,Drug Abuse/Addiction,1,,,
2011,Ideological Causes/Hero Worshipping,1,,,
2011,Illegitimate Pregnancy,1,,,
2011,Cancer,1,,,
2011,Paralysis,1,,,
2011,Drug Abuse/Addiction,1,,,
2011,Unemployment,1,,,
2011,Cancellation of Marriage,1,,,
2011,Ideological Causes/Hero Worshipping,1,,,
2011,Physical Abuse (Rape/Incest Etc.),1,,,
2011,Cancellation of Marriage,1,,,
2011,Paralysis,1,,,
2011,Unemployment,1,,,
2012,Insanity/Mental Illness,1,,,
2012,Not having Children(Barrenness/Impotency,1,,,
2012,Ideological Causes/Hero Worshipping,1,,,
2012,Illegitimate Pregnancy,1,,,
2012,Drug Abuse/Addiction,1,,,
2012,Ideological Causes/Hero Worshipping,1,,,
2012,Drug Abuse/Addiction,1,,,
2012,Property Dispute,1,,,
2012,Fall in Social Reputation,1,,,
2012,Ideological Causes/Hero Worshipping,1,,,
2012,Death of Dear Person,1,,,
2012,Poverty,1,,,
2012,Divorce,1,,,
2012,Property Dispute,1,,,
2012,Fall in Social Reputation,1,,,
2012,Not having Children(Barrenness/Impotency,1,,,
2012,Property Dispute,1,,,
2012,Fall in Social Reputation,1,,,
2001,Failure in Examination,5,,,
2001,Failure in Examination,5,,,
2001,Failure in Examination,5,,,
2001,Failure in Examination,5,,,
2001,Failure in Examination,5,,,
2001,Failure in Examination,5,,,
2001,Failure in Examination,5,,,
2001,Failure in Examination,5,,,
2001,Failure in Examination,4,,,
2001,Failure in Examination,4,,,
2001,Failure in Examination,4,,,
2001,Failure in Examination,4,,,
2001,Failure in Examination,4,,,
2001,Failure in Examination,4,,,
2001,Failure in Examination,3,,,
2001,Failure in Examination,3,,,
2001,Failure in Examination,3,,,
2001,Failure in Examination,3,,,
2001,Failure in Examination,3,,,
2001,Failure in Examination,3,,,
2001,Failure in Examination,3,,,
2001,Failure in Examination,2,,,
2001,Failure in Examination,2,,,
2001,Failure in Examination,2,,,
2001,Failure in Examination,2,,,
2001,Failure in Examination,2,,,
2001,Failure in Examination,2,,,
2001,Failure in Examination,2,,,
2002,Causes Not known,1,,,
2002,Family Problems,1,,,
2002,Family Problems,1,,,
2002,Bankruptcy,1,,,
2002,Divorce,1,,,
2002,Professional/Career Problem,1,,,
2002,Physical Abuse (Rape/Incest Etc.),1,,,
2002,Paralysis,1,,,
2002,Property Dispute,1,,,
2002,Fall in Social Reputation,1,,,
2002,Not having Children (Barrenness/Impotency,1,,,
2002,Failure in Examination,1,,,
2002,Cancellation of Marriage,1,,,
2002,Dowry Dispute,1,,,
2002,Suspected/Illicit Relation,1,,,
2002,Suspected/Illicit Relation,1,,,
2002,Physical Abuse (Rape/Incest Etc.),1,,,
2002,Love Affairs,1,,,
2002,Property Dispute,1,,,
2002,Divorce,1,,,
2003,Fall in Social Reputation,1,,,
2003,Insanity/Mental Illness,1,,,
2003,Other Prolonged Illness,1,,,
2003,Fall in Social Reputation,1,,,
2003,Professional/Career Problem,1,,,
2003,Cancer,1,,,
2003,Dowry Dispute,1,,,
2003,Poverty,1,,,
2003,Unemployment,1,,,
2003,Failure in Examination,1,,,
2003,Divorce,1,,,
2003,Not having Children(Barrenness/Impotency,1,,,
2003,Fall in Social Reputation,1,,,
2003,Property Dispute,1,,,
2003,Illness (Aids/STD),1,,,
2003,Unemployment,1,,,
2003,Cancer,1,,,
2003,Drug Abuse/Addiction,1,,,
2003,Ideological Causes/Hero Worshipping,1,,,
2003,Love Affairs,1,,,
2003,Poverty,1,,,
2003,Unemployment,1,,,
2003,Causes Not known,1,,,
2003,Cancellation of Marriage,1,,,
2003,Death of Dear Person,1,,,
2003,Other Prolonged Illness,1,,,
2003,Cancer,1,,,
2003,Bankruptcy,1,,,
2003,Property Dispute,1,,,
2003,Bankruptcy,1,,,
2004,Death of Dear Person,1,,,
2004,Divorce,1,,,
2004,Paralysis,1,,,
2004,Fall in Social Reputation,1,,,
2004,Paralysis,1,,,
2004,Cancellation of Marriage,1,,,
2004,Professional/Career Problem,1,,,
2004,Fall in Social Reputation,1,,,
2004,Illness (Aids/STD),1,,,
2004,Paralysis,1,,,
2004,Poverty,1,,,
2004,Drug Abuse/Addiction,1,,,
2004,Illness (Aids/STD),1,,,
