STATE/UT,YEAR,CAUSE,CASES,January,February,March,April,May,June,July,August,September,October,November,December
KARNATAKA,2008,Rail-Road Accidents,27,1,3,2,3,3,1,4,0,3,3,0,4
KARNATAKA,2008,Other Railway Accidents,1411,91,114,117,132,120,117,116,125,130,128,104,117
KARNATAKA,2008,Total,47690,4184,4039,4322,4430,4359,3910,3754,3680,3557,3859,3644,3952
KARNATAKA,2009,Road Accidents,45190,3743,3525,3898,3843,4212,3906,3501,3551,3527,3527,3787,4170
KARNATAKA,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2009,Other Railway Accidents,1441,109,103,120,114,143,130,114,123,128,124,120,113
KARNATAKA,2009,Total,46631,3852,3628,4018,3957,4355,4036,3615,3674,3655,3651,3907,4283
KARNATAKA,2010,Road Accidents,46220,4013,3972,4212,4105,4538,3942,3648,3382,3431,3512,3733,3732
KARNATAKA,2010,Rail-Road Accidents,30,2,3,1,2,4,5,1,3,2,4,0,3
KARNATAKA,2010,Other Railway Accidents,1555,111,119,136,111,129,113,136,149,142,139,133,137
KARNATAKA,2010,Total,47805,4126,4094,4349,4218,4671,4060,3785,3534,3575,3655,3866,3872
KARNATAKA,2011,Road Accidents,44696,3936,3676,3775,3707,4309,3781,3577,3437,3451,3566,3603,3878
KARNATAKA,2011,Rail-Road Accidents,28,7,1,2,2,2,2,1,5,1,3,2,0
KARNATAKA,2011,Other Railway Accidents,1648,146,117,155,145,147,129,126,131,151,127,130,144
KARNATAKA,2011,Total,46372,4089,3794,3932,3854,4458,3912,3704,3573,3603,3696,3735,4022
KARNATAKA,2012,Road Accidents,44448,3906,3749,3715,3963,3871,3687,3375,3561,3460,3519,3613,4029
KARNATAKA,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2012,Other Railway Accidents,1679,135,132,155,126,159,121,136,130,143,148,136,158
KARNATAKA,2012,Total,46127,4041,3881,3870,4089,4030,3808,3511,3691,3603,3667,3749,4187
KERALA,2001,Road Accidents,36439,3199,2935,2972,2912,2887,2829,2845,3012,3060,3048,3247,3493
KERALA,2001,Rail-Road Accidents,13,1,2,0,0,3,1,1,2,0,1,1,1
KERALA,2001,Other Railway Accidents,282,25,24,30,23,17,24,14,19,27,26,29,24
KERALA,2001,Total,36734,3225,2961,3002,2935,2907,2854,2860,3033,3087,3075,3277,3518
KERALA,2002,Road Accidents,34534,3072,2739,2643,3096,3113,2754,2731,2688,2835,2897,2908,3058
KERALA,2002,Rail-Road Accidents,50,4,6,2,4,5,6,1,4,5,4,8,1
KERALA,2002,Other Railway Accidents,316,21,26,20,32,29,22,17,30,23,36,25,35
KERALA,2002,Total,34900,3097,2771,2665,3132,3147,2782,2749,2722,2863,2937,2941,3094
KERALA,2003,Road Accidents,31947,2894,2485,2495,2570,2614,2526,2534,2569,2612,2852,2799,2997
KERALA,2003,Rail-Road Accidents,47,2,3,7,3,8,3,2,4,2,2,9,2
KERALA,2003,Other Railway Accidents,156,15,14,12,14,17,14,13,9,10,12,13,13
KERALA,2003,Total,32150,2911,2502,2514,2587,2639,2543,2549,2582,2624,2866,2821,3012
KERALA,2004,Road Accidents,41103,3661,3393,3477,3411,3239,3306,3164,3334,3399,3532,3425,3762
KERALA,2004,Rail-Road Accidents,17,1,1,1,3,3,1,2,2,1,1,0,1
KERALA,2004,Other Railway Accidents,261,35,20,21,16,25,17,23,22,19,23,18,22
KERALA,2004,Total,41381,3697,3414,3499,3430,3267,3324,3189,3358,3419,3556,3443,3785
KERALA,2005,Road Accidents,42295,3784,3435,3672,3594,3870,3410,3172,3452,3109,3467,3602,3728
KERALA,2005,Rail-Road Accidents,35,3,3,3,4,3,3,2,3,3,4,2,2
KERALA,2005,Other Railway Accidents,219,10,18,18,15,25,14,22,19,14,19,19,26
KERALA,2005,Total,42549,3797,3456,3693,3613,3898,3427,3196,3474,3126,3490,3623,3756
KERALA,2006,Road Accidents,41728,3901,3394,3711,3360,3600,3229,3139,3398,3384,3423,3516,3673
KERALA,2006,Rail-Road Accidents,207,17,15,11,16,17,18,15,17,24,21,16,20
KERALA,2006,Other Railway Accidents,134,8,10,10,13,13,11,13,6,14,12,12,12
KERALA,2006,Total,42069,3926,3419,3732,3389,3630,3258,3167,3421,3422,3456,3544,3705
KERALA,2007,Road Accidents,39861,3758,3459,3529,3481,3667,3145,2793,3107,2935,3207,3211,3569
KERALA,2007,Rail-Road Accidents,25,2,0,4,1,0,2,3,2,4,2,3,2
KERALA,2007,Other Railway Accidents,335,31,26,34,27,26,29,30,29,20,24,30,29
KERALA,2007,Total,40221,3791,3485,3567,3509,3693,3176,2826,3138,2959,3233,3244,3600
KERALA,2008,Road Accidents,37238,3433,3172,3121,3205,3210,2911,2904,2874,3077,3092,3034,3205
KERALA,2008,Rail-Road Accidents,18,1,1,3,1,2,1,1,4,1,1,1,1
KERALA,2008,Other Railway Accidents,513,42,43,46,45,41,44,39,43,46,37,53,34
KERALA,2008,Total,37769,3476,3216,3170,3251,3253,2956,2944,2921,3124,3130,3088,3240
KERALA,2009,Road Accidents,35457,3142,2933,3072,2877,3133,2967,2745,2851,2707,2910,2959,3161
KERALA,2009,Rail-Road Accidents,48,4,5,5,2,5,3,4,5,7,4,0,4
KERALA,2009,Other Railway Accidents,444,31,30,38,49,37,41,47,39,33,33,35,31
KERALA,2009,Total,35949,3177,2968,3115,2928,3175,3011,2796,2895,2747,2947,2994,3196
KERALA,2010,Road Accidents,35082,3221,2967,3180,3073,3149,2743,2641,2745,2861,2602,2897,3003
KERALA,2010,Rail-Road Accidents,56,4,5,7,3,4,5,3,5,5,5,4,6
KERALA,2010,Other Railway Accidents,432,41,25,33,37,42,28,31,45,42,45,30,33
KERALA,2010,Total,35570,3266,2997,3220,3113,3195,2776,2675,2795,2908,2652,2931,3042
KERALA,2011,Road Accidents,35216,3146,2929,3622,2805,3144,2767,2688,2787,2844,2476,2882,3126
KERALA,2011,Rail-Road Accidents,46,4,4,3,2,6,3,2,3,5,4,7,3
KERALA,2011,Other Railway Accidents,390,38,23,25,35,34,42,27,30,38,31,29,38
KERALA,2011,Total,35652,3188,2956,3650,2842,3184,2812,2717,2820,2887,2511,2918,3167
KERALA,2012,Road Accidents,36174,3262,3039,2960,2942,3159,2866,2848,2929,3025,2960,2991,3193
KERALA,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,2012,Other Railway Accidents,537,40,52,46,44,53,34,49,56,37,45,40,41
KERALA,2012,Total,36711,3302,3091,3006,2986,3212,2900,2897,2985,3062,3005,3031,3234
MADHYA PRADESH,2001,Road Accidents,19712,1726,1584,1764,1728,1980,1649,1428,1372,1544,1650,1711,1576
MADHYA PRADESH,2001,Rail-Road Accidents,132,19,9,5,14,12,8,7,8,13,14,13,10
MADHYA PRADESH,2001,Other Railway Accidents,1070,74,78,83,81,109,107,91,105,88,97,81,76
MADHYA PRADESH,2001,Total,20914,1819,1671,1852,1823,2101,1764,1526,1485,1645,1761,1805,1662
MADHYA PRADESH,2002,Road Accidents,22879,1873,1871,1921,1894,2278,1987,1776,1649,1656,1927,2088,1959
MADHYA PRADESH,2002,Rail-Road Accidents,84,7,6,5,9,7,3,12,6,5,9,5,10
MADHYA PRADESH,2002,Other Railway Accidents,1121,87,76,91,97,106,94,111,82,86,112,98,81
MADHYA PRADESH,2002,Total,24084,1967,1953,2017,2000,2391,2084,1899,1737,1747,2048,2191,2050
MADHYA PRADESH,2003,Road Accidents,22616,1927,1763,1891,1965,2191,2064,1779,1693,1644,1923,1886,1890
MADHYA PRADESH,2003,Rail-Road Accidents,71,4,5,4,8,9,8,5,5,6,8,4,5
MADHYA PRADESH,2003,Other Railway Accidents,1262,100,83,109,117,124,118,95,119,94,124,95,84
MADHYA PRADESH,2003,Total,23949,2031,1851,2004,2090,2324,2190,1879,1817,1744,2055,1985,1979
MADHYA PRADESH,2004,Road Accidents,23591,2104,2048,2002,2166,2100,1970,1868,1672,1856,2039,1882,1884
MADHYA PRADESH,2004,Rail-Road Accidents,18,0,1,3,2,0,1,3,1,3,1,3,0
MADHYA PRADESH,2004,Other Railway Accidents,1261,92,80,100,105,107,113,115,121,143,104,103,78
MADHYA PRADESH,2004,Total,24870,2196,2129,2105,2273,2207,2084,1986,1794,2002,2144,1988,1962
MADHYA PRADESH,2005,Road Accidents,21474,1768,1797,1830,1771,2271,1931,1601,1637,1553,1902,1749,1664
MADHYA PRADESH,2005,Rail-Road Accidents,53,4,3,9,4,8,4,1,7,5,5,1,2
MADHYA PRADESH,2005,Other Railway Accidents,1264,96,90,113,106,94,126,108,103,118,120,100,90
MADHYA PRADESH,2005,Total,22791,1868,1890,1952,1881,2373,2061,1710,1747,1676,2027,1850,1756
MADHYA PRADESH,2006,Road Accidents,25038,2180,1967,2144,2278,2516,2159,1929,1723,1859,2050,2211,2022
MADHYA PRADESH,2006,Rail-Road Accidents,72,2,7,6,11,6,6,13,7,5,6,2,1
MADHYA PRADESH,2006,Other Railway Accidents,1795,112,129,128,123,156,169,184,191,177,180,136,110
MADHYA PRADESH,2006,Total,26905,2294,2103,2278,2412,2678,2334,2126,1921,2041,2236,2349,2133
MADHYA PRADESH,2007,Road Accidents,28444,2490,2288,2409,2776,2690,2482,2114,2080,2161,2323,2384,2247
MADHYA PRADESH,2007,Rail-Road Accidents,42,3,4,3,2,6,5,2,5,2,6,3,1
MADHYA PRADESH,2007,Other Railway Accidents,1472,118,117,129,124,124,140,119,131,126,143,111,90
MADHYA PRADESH,2007,Total,29958,2611,2409,2541,2902,2820,2627,2235,2216,2289,2472,2498,2338
MADHYA PRADESH,2008,Road Accidents,34316,3037,2883,2917,3250,3126,2718,2699,3223,2564,2958,2449,2492
MADHYA PRADESH,2008,Rail-Road Accidents,32,2,2,4,3,2,2,4,2,4,2,4,1
MADHYA PRADESH,2008,Other Railway Accidents,1599,107,125,168,134,134,149,160,132,143,120,107,120
MADHYA PRADESH,2008,Total,35947,3146,3010,3089,3387,3262,2869,2863,3357,2711,3080,2560,2613
MADHYA PRADESH,2009,Road Accidents,32332,2851,2742,2723,2822,3119,2742,2449,2335,2510,2829,2549,2661
MADHYA PRADESH,2009,Rail-Road Accidents,115,8,19,12,19,23,6,4,7,7,4,2,4
MADHYA PRADESH,2009,Other Railway Accidents,1514,116,100,126,126,131,153,134,144,155,112,107,110
MADHYA PRADESH,2009,Total,33961,2975,2861,2861,2967,3273,2901,2587,2486,2672,2945,2658,2775
MADHYA PRADESH,2010,Road Accidents,30127,2503,2494,2435,2548,2890,2682,2428,2245,2226,2583,2635,2458
MADHYA PRADESH,2010,Rail-Road Accidents,62,3,4,8,9,8,7,3,6,5,3,2,4
MADHYA PRADESH,2010,Other Railway Accidents,1797,116,110,134,153,161,174,178,184,172,152,134,129
MADHYA PRADESH,2010,Total,31986,2622,2608,2577,2710,3059,2863,2609,2435,2403,2738,2771,2591
MADHYA PRADESH,2011,Road Accidents,30573,2892,2547,2722,2564,3111,2533,2370,2220,2128,2544,2526,2416
MADHYA PRADESH,2011,Rail-Road Accidents,55,5,2,4,3,8,5,5,6,4,6,3,4
MADHYA PRADESH,2011,Other Railway Accidents,1615,127,131,152,121,150,135,155,125,139,128,124,128
MADHYA PRADESH,2011,Total,32243,3024,2680,2878,2688,3269,2673,2530,2351,2271,2678,2653,2548
MADHYA PRADESH,2012,Road Accidents,29173,2618,2475,2413,2799,2841,2631,2146,1992,2103,2420,2522,2213
MADHYA PRADESH,2012,Rail-Road Accidents,289,27,37,18,25,24,31,21,22,22,26,19,17
MADHYA PRADESH,2012,Other Railway Accidents,1974,149,153,186,179,192,194,160,158,167,149,137,150
MADHYA PRADESH,2012,Total,31436,2794,2665,2617,3003,3057,2856,2327,2172,2292,2595,2678,2380
MAHARASHTRA,2001,Road Accidents,37269,3162,3015,3272,3332,3671,3179,2781,2755,2772,3024,3057,3249
MAHARASHTRA,2001,Rail-Road Accidents,29,0,4,2,2,5,3,2,2,1,2,3,3
MAHARASHTRA,2001,Other Railway Accidents,7451,635,591,616,597,657,623,562,588,703,708,575,596
MAHARASHTRA,2001,Total,44749,3797,3610,3890,3931,4333,3805,3345,3345,3476,3734,3635,3848
MAHARASHTRA,2002,Road Accidents,39561,3424,3087,3506,3538,3970,3273,3036,2960,2881,3225,3197,3464
MAHARASHTRA,2002,Rail-Road Accidents,66,6,4,5,7,10,6,5,4,5,4,5,5
MAHARASHTRA,2002,Other Railway Accidents,7297,581,503,607,561,677,608,617,628,628,644,635,608
MAHARASHTRA,2002,Total,46924,4011,3594,4118,4106,4657,3887,3658,3592,3514,3873,3837,4077
MAHARASHTRA,2003,Road Accidents,43022,3699,3373,3234,3430,3998,3584,3421,3537,3494,3774,3651,3827
MAHARASHTRA,2003,Rail-Road Accidents,55,4,2,6,4,4,6,2,7,3,7,6,4
MAHARASHTRA,2003,Other Railway Accidents,7630,622,590,566,585,665,628,608,650,672,726,669,649
MAHARASHTRA,2003,Total,50707,4325,3965,3806,4019,4667,4218,4031,4194,4169,4507,4326,4480
MAHARASHTRA,2004,Road Accidents,44539,3928,3713,3677,3714,4289,3811,3430,3262,3474,3605,3693,3943
MAHARASHTRA,2004,Rail-Road Accidents,46,3,2,3,4,5,3,5,7,6,4,2,2
MAHARASHTRA,2004,Other Railway Accidents,7696,651,563,654,630,669,652,660,620,667,631,638,661
MAHARASHTRA,2004,Total,52281,4582,4278,4334,4348,4963,4466,4095,3889,4147,4240,4333,4606
MAHARASHTRA,2005,Road Accidents,46586,4078,3694,3832,3877,4637,4126,3564,3410,3456,3794,3933,4185
MAHARASHTRA,2005,Rail-Road Accidents,42,3,5,3,4,4,3,6,5,1,5,1,2
MAHARASHTRA,2005,Other Railway Accidents,7495,563,539,661,635,628,655,565,623,672,715,616,623
MAHARASHTRA,2005,Total,54123,4644,4238,4496,4516,5269,4784,4135,4038,4129,4514,4550,4810
MAHARASHTRA,2006,Road Accidents,48887,4062,3741,4129,4271,4881,4194,3705,3497,3705,4197,4084,4421
MAHARASHTRA,2006,Rail-Road Accidents,13,0,2,3,1,1,1,2,1,1,0,1,0
MAHARASHTRA,2006,Other Railway Accidents,8210,626,618,650,706,725,666,645,605,769,793,674,733
MAHARASHTRA,2006,Total,57110,4688,4361,4782,4978,5607,4861,4352,4103,4475,4990,4759,5154
MAHARASHTRA,2007,Road Accidents,51975,4572,4318,4481,4795,5206,4400,3839,3850,3784,4090,4349,4291
MAHARASHTRA,2007,Rail-Road Accidents,52,2,3,3,1,9,7,3,8,1,5,7,3
MAHARASHTRA,2007,Other Railway Accidents,8521,652,658,688,745,765,631,716,678,746,791,700,751
MAHARASHTRA,2007,Total,60548,5226,4979,5172,5541,5980,5038,4558,4536,4531,4886,5056,5045
MAHARASHTRA,2008,Road Accidents,49679,4376,4260,4479,4839,4726,4096,3738,3588,3560,3886,3854,4277
MAHARASHTRA,2008,Rail-Road Accidents,1,1,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,2008,Other Railway Accidents,8420,654,610,679,735,779,708,694,707,759,713,663,719
MAHARASHTRA,2008,Total,58100,5031,4870,5158,5574,5505,4804,4432,4295,4319,4599,4517,4996
MAHARASHTRA,2009,Road Accidents,48865,4126,4024,4199,4373,4691,4097,3531,3737,3921,3916,3895,4355
MAHARASHTRA,2009,Rail-Road Accidents,16,1,1,1,2,3,1,1,1,1,0,2,2
MAHARASHTRA,2009,Other Railway Accidents,8226,669,628,638,649,717,727,597,734,780,719,703,665
MAHARASHTRA,2009,Total,57107,4796,4653,4838,5024,5411,4825,4129,4472,4702,4635,4600,5022
MAHARASHTRA,2010,Road Accidents,50619,4383,4036,4314,4401,4861,4393,3925,3679,3938,4049,4226,4414
MAHARASHTRA,2010,Rail-Road Accidents,25,3,4,5,0,3,2,1,1,1,0,0,5
MAHARASHTRA,2010,Other Railway Accidents,8369,709,604,720,683,771,688,680,703,689,721,704,697
MAHARASHTRA,2010,Total,59013,5095,4644,5039,5084,5635,5083,4606,4383,4628,4770,4930,5116
MAHARASHTRA,2011,Road Accidents,47120,4332,4052,4155,3928,4675,3976,3674,3439,3520,3511,3732,4126
MAHARASHTRA,2011,Rail-Road Accidents,53,3,1,5,5,6,5,4,4,4,9,5,2
MAHARASHTRA,2011,Other Railway Accidents,8584,657,645,710,666,764,747,716,728,715,735,741,760
MAHARASHTRA,2011,Total,55757,4992,4698,4870,4599,5445,4728,4394,4171,4239,4255,4478,4888
MAHARASHTRA,2012,Road Accidents,45247,4110,3760,3896,4031,4071,3865,3539,3384,3374,3508,3523,4186
MAHARASHTRA,2012,Rail-Road Accidents,38,2,3,4,3,3,4,3,3,6,4,0,3
MAHARASHTRA,2012,Other Railway Accidents,8564,681,625,689,730,724,656,743,743,691,839,658,785
MAHARASHTRA,2012,Total,53849,4793,4388,4589,4764,4798,4525,4285,4130,4071,4351,4181,4974
MANIPUR,2001,Road Accidents,410,39,31,40,48,40,14,21,26,38,41,31,41
MANIPUR,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2001,Total,410,39,31,40,48,40,14,21,26,38,41,31,41
MANIPUR,2002,Road Accidents,520,51,49,44,37,41,36,50,42,42,49,39,40
MANIPUR,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2002,Total,520,51,49,44,37,41,36,50,42,42,49,39,40
MANIPUR,2003,Road Accidents,523,43,40,48,43,42,44,49,48,36,44,45,41
MANIPUR,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2003,Total,523,43,40,48,43,42,44,49,48,36,44,45,41
MANIPUR,2004,Road Accidents,468,34,43,41,42,40,42,20,37,36,30,45,58
MANIPUR,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2004,Total,468,34,43,41,42,40,42,20,37,36,30,45,58
MANIPUR,2005,Road Accidents,600,55,57,58,48,50,45,45,38,51,47,51,55
MANIPUR,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2005,Total,600,55,57,58,48,50,45,45,38,51,47,51,55
MANIPUR,2006,Road Accidents,521,50,45,51,44,44,26,36,37,35,43,61,49
MANIPUR,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2006,Total,521,50,45,51,44,44,26,36,37,35,43,61,49
MANIPUR,2007,Road Accidents,538,47,46,57,51,44,42,35,31,44,44,38,59
MANIPUR,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2007,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2007,Total,538,47,46,57,51,44,42,35,31,44,44,38,59
MANIPUR,2008,Road Accidents,502,56,41,39,39,34,46,32,31,45,48,42,49
MANIPUR,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2008,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2008,Total,502,56,41,39,39,34,46,32,31,45,48,42,49
MANIPUR,2009,Road Accidents,578,40,54,51,41,39,39,58,37,45,58,57,59
MANIPUR,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2009,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2009,Total,578,40,54,51,41,39,39,58,37,45,58,57,59
MANIPUR,2010,Road Accidents,602,74,46,49,46,41,30,44,37,54,57,62,62
MANIPUR,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2010,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2010,Total,602,74,46,49,46,41,30,44,37,54,57,62,62
MANIPUR,2011,Road Accidents,691,64,66,62,63,52,58,55,54,52,50,59,56
MANIPUR,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2011,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2011,Total,691,64,66,62,63,52,58,55,54,52,50,59,56
MANIPUR,2012,Road Accidents,771,67,70,64,69,57,72,62,60,58,64,58,70
MANIPUR,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2012,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2012,Total,771,67,70,64,69,57,72,62,60,58,64,58,70
MEGHALAYA,2001,Road Accidents,161,11,15,13,20,12,11,15,12,9,21,12,10
MEGHALAYA,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2001,Total,161,11,15,13,20,12,11,15,12,9,21,12,10
MEGHALAYA,2002,Road Accidents,465,31,26,43,40,39,31,28,33,43,56,51,44
MEGHALAYA,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2002,Total,465,31,26,43,40,39,31,28,33,43,56,51,44
MEGHALAYA,2003,Road Accidents,373,33,31,31,31,34,37,33,32,26,27,29,29
MEGHALAYA,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2003,Total,373,33,31,31,31,34,37,33,32,26,27,29,29
MEGHALAYA,2004,Road Accidents,328,22,21,29,24,31,21,27,30,32,43,28,20
MEGHALAYA,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2004,Total,328,22,21,29,24,31,21,27,30,32,43,28,20
MEGHALAYA,2005,Road Accidents,330,38,30,38,18,27,26,23,25,25,33,17,30
MEGHALAYA,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2005,Total,330,38,30,38,18,27,26,23,25,25,33,17,30
MEGHALAYA,2006,Road Accidents,176,16,10,17,10,14,16,10,21,15,18,13,16
MEGHALAYA,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2006,Total,176,16,10,17,10,14,16,10,21,15,18,13,16
MEGHALAYA,2007,Road Accidents,157,19,19,13,13,12,10,13,9,18,5,15,11
MEGHALAYA,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2007,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2007,Total,157,19,19,13,13,12,10,13,9,18,5,15,11
MEGHALAYA,2008,Road Accidents,191,13,9,21,25,24,16,11,18,12,12,15,15
MEGHALAYA,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2008,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2008,Total,191,13,9,21,25,24,16,11,18,12,12,15,15
MEGHALAYA,2009,Road Accidents,314,28,24,36,24,37,23,19,23,18,25,19,38
MEGHALAYA,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2009,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2009,Total,314,28,24,36,24,37,23,19,23,18,25,19,38
MEGHALAYA,2010,Road Accidents,257,23,22,31,24,20,23,20,20,20,14,19,21
MEGHALAYA,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2010,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2010,Total,257,23,22,31,24,20,23,20,20,20,14,19,21
MEGHALAYA,2011,Road Accidents,261,24,25,33,18,20,20,30,22,12,25,13,19
MEGHALAYA,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2011,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2011,Total,261,24,25,33,18,20,20,30,22,12,25,13,19
MEGHALAYA,2012,Road Accidents,355,33,31,28,38,30,31,29,61,22,25,14,13
MEGHALAYA,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,Total,355,33,31,28,38,30,31,29,61,22,25,14,13
MIZORAM,2001,Road Accidents,72,7,5,9,4,9,5,8,7,4,3,5,6
MIZORAM,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2001,Total,72,7,5,9,4,9,5,8,7,4,3,5,6
MIZORAM,2002,Road Accidents,41,6,0,4,9,3,2,2,4,3,0,2,6
MIZORAM,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2002,Total,41,6,0,4,9,3,2,2,4,3,0,2,6
MIZORAM,2003,Road Accidents,71,5,8,3,5,8,5,6,5,4,3,9,10
MIZORAM,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2003,Total,71,5,8,3,5,8,5,6,5,4,3,9,10
MIZORAM,2004,Road Accidents,38,6,0,4,8,3,2,2,2,3,0,2,6
MIZORAM,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2004,Total,38,6,0,4,8,3,2,2,2,3,0,2,6
MIZORAM,2005,Road Accidents,71,12,8,4,3,2,3,2,5,5,5,7,15
MIZORAM,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2005,Total,71,12,8,4,3,2,3,2,5,5,5,7,15
MIZORAM,2006,Road Accidents,72,11,4,7,6,6,5,2,6,3,3,9,10
MIZORAM,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2006,Total,72,11,4,7,6,6,5,2,6,3,3,9,10
MIZORAM,2007,Road Accidents,52,4,4,4,4,3,5,10,7,3,2,4,2
MIZORAM,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
